category,Factory,Retailer,Wholesaler,Distributor
1,400,400,0,300
2,350,500,0,0
3,0,300,0,0
4,0,300,0,0
5,0,50,0,0
6,0,100,0,0
7,0,200,600,0
8,0,1200,6100,0
9,19950,1300,51100,0
10,919950,900,95100,945550
11,1169950,1500,129500,1045550
12,1169950,1200,129499,1045550
13,1169950,801,129499,1045550
14,1169950,401,129499,1045550
15,1169950,1,128999,1045550
16,1169950,101,128499,1045550
17,1169950,201,128299,1045550
18,1170050,1,127799,1045550
19,1170150,101,127299,1045550
20,1170150,201,126799,1045550
21,1170150,301,126299,1045550
22,1170150,401,125799,1045550
23,1170150,501,125799,1045550
24,1170150,101,125799,1045550