category,Factory,Retailer,Wholesaler,Distributor,Target
1,300,400,488,400,400
2,300,12,488,588,400
3,450,-288,380,688,400
4,550,-568,80,688,400
5,650,-668,-520,488,400
6,650,-988,-420,-512,400
7,-162,-1188,-1132,-1512,400
8,-2674,-1100,-1432,-3862,400
9,-9036,-1500,-982,-6862,400
10,-15898,-1250,-2482,-9362,400
11,-3898,-1650,-2582,-9362,400
12,21102,-1550,-9582,-362,400
13,53102,1050,-7582,3536,400
14,51102,12650,7380,-8464,400
15,31102,20232,13916,3036,400
16,43102,19832,22880,28036,400
17,62102,19432,22880,28036,400
18,66102,19032,22880,28036,400
19,66082,18632,22880,29036,400
20,66062,18232,22880,29056,400
21,67052,17832,22880,29076,400
22,67552,17432,22880,29086,400
23,68552,17032,22880,29086,400
24,68552,16632,22880,29086,400